Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,AM,2_5,Edge,NYSY,2_5 E NYSY,48.30660561,2.115750338,22.83190259,-29.33920022,4.878783326
AM,AM,2_5,Edge,NYSY,2_5 E NYSY,48.0065902,2.28553429,21.00453728,-31.51926024,4.716897715
AM,AM,2_5,Edge,NYSY,2_5 E NYSY,48.73539141,2.549322189,19.11699966,-28.64481513,3.577043484
AM,EcM,2_5,Edge,BELE,2_5 E BELE,48.68139689,3.249014517,14.98343471,-31.12866886,5.640924677
AM,EcM,2_5,Edge,BELE,2_5 E BELE,48.33257549,3.005424145,16.08178186,-31.50903232,4.768000125
AM,AM,8_1,Center,NYSY,8_1 C NYSY,48.6549284,2.663730177,18.26571206,-29.24771551,3.621765712
AM,AM,8_1,Edge,ACSA,8_1 E ACSA,48.25378732,1.525915926,31.62283484,-29.98445263,-0.858453747
AM,AM,8_1,Edge,ACSA,8_1 E ACSA,48.21783244,1.537149338,31.36834609,-28.74073218,-0.920918308
AM,AM,8_1,Edge,ACSA,8_1 E ACSA,48.09929982,1.83937309,26.14983337,-28.55790089,-0.224427745
AM,AM,8_1,Edge,ACSA,8_1 E ACSA,47.70542569,2.052451338,23.2431458,-29.14492746,-1.521796036
AM,AM,8_1,Edge,ACSA,8_1 E ACSA,47.24049454,2.099752829,22.49812163,-30.09766936,-1.094129773
AM,AM,8_1,Center,ACSA,8_1 C ACSA,47.47243531,1.723777995,27.53976175,-29.48445083,0.65411264
AM,AM,8_1,Center,ACSA,8_1 C ACSA,48.2760876,2.039562221,23.66982832,-29.92693431,0.268271946
AM,AM,8_1,Center,ACSA,8_1 C ACSA,47.9511213,2.073483667,23.12587365,-30.05073814,2.950974605
AM,AM,8_1,Center,ACSA,8_1 C ACSA,47.65962384,1.857209139,25.66195849,-30.4955691,0.902244846
AM,AM,8_1,Edge,PRSE,8_1 E PRSE,48.86600298,3.159603857,15.46586382,-29.33019056,2.555098252
AM,AM,8_1,Edge,PRSE,8_1 E PRSE,49.12690689,3.282469987,14.96644511,-29.71359133,1.603619402
AM,AM,8_1,Edge,PRSE,8_1 E PRSE,48.32798582,3.291975349,14.68054305,-30.4166252,1.731650644
AM,AM,8_1,Edge,PRSE,8_1 E PRSE,48.44584046,3.161070902,15.32576837,-30.45925497,1.291995597
